hateful,,
1,TP,Sir Still NO # sanitization in # Chetanvihar # Najafgarh. # mosquito # Menace has also started. Hope for best. # Covid19India # FightagainstCoronavirus # DengueAbNahi @ ManchNajafgarh @ MudgalSandeep @ kgahlot
0,FN,"Day4 of work from home, 2pm: I have successfully killed at least 40-50 mosquitoes so far. For the rest of the day, imma wonder where TF are so many mosquitoes coming from. # CoronavirusOutbreakindia # QuarantineLife"
0,TN,There is no evidence that supports the theory that mosquito bites can spread coronavirus. Refer to only official sources for updates on Covid19. Get 24x7 assistance by visiting https://bit.ly/2XJwkNh # Seniority # LiveEvergreen # COVID19 # MythsandFacts # IndiaFightsCorona pic.twitter.com/LWrW1mpvyy
0,TN,# Covid19India # coronaupdatesindia # iamgujarat https://www.iamgujarat.com/health-news/can-the-new-coronavirus-be-transmitted-through-mosquito-bites-538933/ …
1,TP,"# coronavirusinindia #mosquitoDanger Beside sending infected 2 quarantine and calling for # janatacurfew, is there an easy 2 disinfect cities/villages something like fog machine 2 mosquitoes. R state govt take any proactive measures to stop the infection. Is it feasible in case of # coronavirus"
0,TN,FACT: COVID-19 The new Coronavirus can not be transmitted through mosquito bites. # COVID19Prevent # Mosquitobites # CoronaOutbreak # HealthForAll # IndiaFightsCorona # PrayForWorld # TogetherWeCan # FormulaGrouppic.twitter.com/OTf42ba8Rb
0,TN,If the mosquito isn't infected it can't transmit it to any other person. https://www.ibtimes.co.in/can-mosquitoes-spread-coronavirus-here-what-experts-say-820756?utm_source=Internal&utm_medium=Homepage&utm_campaign=block2-2 … # coronavirusinindia # Covid_19india # COVID2019india # CoronaPandemic # CoronaVirusUpdates # CoronaUpdate # coronqvirusmyths # coronavirus # COVID__19 # COVID19Pandemic # COVID19outbreak
0,TN,FACT: # COVID19 cannot be transmitted through mosquito bites. # BeAware # IndiaFightsCorona # CoronavirusOutbreak # TogetherWeCan Via: @ WHOpic.twitter.com/dDSmQhzbBb
0,TN,Myth BOOSTER 4. . Please share . The new coronavirus CANNOT be transmitted through mosquito bites. . # MakeChinaPay # COVID19Pakistan # coronavirusindia # WhoCanSave_The_World # CoronaParty # coronapocalypsepic.twitter.com/vlEklS0AZk
0,TN,Can corona spread through mosquito bites ?? # COVID # covidindia # coronavirus # Corona
0,TN,Myth # coronavirusuk Virus cannot be transmitted through mosquito # CoronaVirusUpdates # Coronaindia Join the list of digital readers http://www.thedigitalnews.co.uk
1,TP,"To kill mosquitoes , repellents are enough. To recover from # CoronavirusOutbreakindia, # ????_????_??????_?????_?????"
0,FN,"One Indian Soldier killed 20 # PLA mosquitos...please check what you are smoking...I think you need to lower your dose ! Get ready we are coming for you, # Backstabbers. This is new # India . # IndiaWillWin @ adgpi @ majorgauravarya @ reachind_uk @ GeneralBakshi"
0,TN,Coronavirus: Union Health Ministry clears misconceptions about mosquito bite and others surrounding COVID 19 - https://www.pinkvilla.com/lifestyle/health-fitness/coronavirus-union-health-ministry-clears-misconceptions-about-mosquito-bite-and-others-surrounding-covid … # coronaviruspandemic # covid-19 # indiafightscorona
0,TN,"??? ?? ????? ???? ???????, ??????? ?????? ?? ???? WHO ?? ??? ??? ???? 14 ???? # CoronaLockdown # CoronavirusOutbreakindia @ WHOhttps://www.zeebiz.com/hindi/india/photo-gallery-who-corona-myth-buster-beware-covid-19-cannot-transmitted-by-mosquitoes-pandemic-will-not-end-by-weather-season-change-23387 …"
1,TP,"The startup claims to have built India’s first drone to eradicate mosquitoes, larvae and water hyacinth on lakes; as well as autonomous drones that spray on agricultural fields. # CoronaVirus # coronavirusinindia # covid19 @ TelanganaCMO"
0,FN,"One single infected mosquito that escapes can go on to bring death to dozens of victims in its lifespan, lay more eggs and restart an outbreak that progresses from a few to dozens to hundreds. @ GodrejGroup @ worldmalariaday @ WHO @ MoHFW_INDIA World Malaria Day # IndiaFightsCorona"
0,FN," ceo_pune Is this social media page active? Want to report severe nuisance of mosquitoes in Kahun Road Camp Area, in this Covid pandemic, how can we take such chances? @ TOIPune @ ThePuneMirror @ ppcr_pune @ MoHFW_INDIA"
1,TP,It's been 6 days since lockdown and not met anyone... Aquired the superpower to kill mosquitoes by head... 4 kill streak.. Break it if u can # CoronavirusLockdown # coronavirusindia # coronaupdatesindia # IndiaFightsCorona
0,FN,Before that at least start # sanitization. Besides # Covid19India # mosquito breeding has also started. # IndiaFightsCorona
0,TN,Facts >The new coronavirus CANNOT be transmitted through mosquito bites. >Ultra-violet (UV) lamps should not be used to disinfect hands or other areas of your skin. @ healfoundation1 @ SWADEEP @ auplish_chhavi # 1stLiveeHealthSummit # Lockdownindia
0,TN,Hey @ BMTC_BENGALURU Your service is pathetic.m traveling in KIAS 12.its started late from origin itself. At dis crisis I expect you santize bus after every trip but it seems u haven't done from months. It stincks and there r mosquitoes.Forget about # covidindia handle dengue 1st. https://twitter.com/BMTC_BENGALURU/status/1239561388873232384 …
0,TN,"??? ?? ????? ???? ???????, ??????? ?????? ?? ???? WHO ?? ??? ??? ???? 14 ???? # CoronaLockdown # CoronavirusOutbreakindia @ WHOhttps://www.zeebiz.com/hindi/india/photo-gallery-who-corona-myth-buster-beware-covid-19-cannot-transmitted-by-mosquitoes-pandemic-will-not-end-by-weather-season-change-23387 …"
